BuildingNumber,StreetAddress,Landmark,Locality,City,State,PostalCode,Country
30,"RD FLOOR, ROAD",,,BANGALORE,KA,560001,India
11,,,PADMAVATHY NAGAR,CHENNAI,,600051,India
,ROAD,,GANDHINAGAR,GANDHINAGAR,GJ,382007,India
12/757,ROAD,,SBI COLONY,GONDIA,MH,441601,India
,,,,HYDERABAD,TS,500084,India
,,,,ALIGARH,UP,202002,India
281/2A,ST FLOOR,,VASANTH NAGAR,HYDERABAD,TS,500072,India
,,,VINDHYACHAL NAGAR,INDORE,MP,452005,India
E-35,,,,BHUBANESWAR,OD,751015,India
9,SECTOR - 12 FARIDABAD IN-HR IN 121007,,SECTOR - 12 FARIDABAD IN-HR IN 121007,FARIDABAD,HR,121007,India
,,,,KOLKATA,,700043,India
1143/741,,,,AJMER,RJ,305801,India
31/4,STRIAL ESTATE,,,PUNE,MH,411048,India
,,,,VISAKHAPATNAM,AP,530046,India
,,,,THRISSUR,KL,680688,India
1477,"STRIAL ESTATE, STRIAL AREA",,,SONIPAT,HR,131029,India
202,,SAI BABA TEMPLE,,ONGOLE,AP,523001,India
,,,FRIENDS COLONY,NEW DELHI,,110065,India
,ST FLOOR,,,MUMBAI,,400021,India
T-19,,,,MANGALORE,KA,575002,India
T-3,,,,KOLKATA,WB,700019,India
Y-222,,,ANNA NAGAR,CHENNAI,TN,600040,India
B-106,"ROAD VASAI EAST, ST FLOOR, ST",,,PALGHAR MUMBAI IN-MH IN 401210,MH,401210,India
35,ROAD DELAD,,,SURAT,GJ,394540,India
268,,,BLOCK /SURVEY NO.161 MIRAPUR IN 382308,MIRAPUR,,382308,India
,,,,AMRITSAR,,143001,India
76-D,SECTOR - 18 GURGAON IN-HR IN 122001,,PHASE,GURGAON,HR,122001,India
2766,,,SUNDER NAGAR,LUDHIANA,PB,141001,India
A-126,,,GB NAGAR,NOIDA,UP,201308,India
14,ROAD,,SBI COLONY,SECUNDERABAD,,500009,India
,,,AP COLONY,GAYA,,823001,India
,ROAD KATARGAM,,,SURAT,,395004,India
,ROAD 5,,,MUMBAI,,400056,India
,STATE,ALWATIYA HOSPITAL,CHHAMA ENCLAVE,AGRA,UP,282010,India
,"ROAD OPP VIJAY SALES SANTACRUZ WEST, ST",,,MUMBAI,MH,400054,India
,,PROBODHANKAR THAKRE SANKULAN VILE PARLE EAST MUMBAI IN-MH IN 400057,,MUMBAI,MH,400057,India
53/451,,,,PUNE,MH,411062,India
6,,,GROUND FLOOR NAVIN NAGAR,MUMBAI,MH,400054,India
16/1,ST FLOOR,,,BANGALORE,,560077,India
,,,,GANDHIDHAM,GJ,370201,India
